City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,Tacuarembo,UY,-31.7333,-55.9833,55.92,84,87,10.8,overcast clouds
181,Hereford,GB,52.0568,-2.7148,59.34,83,94,3.0,overcast clouds
182,Konya,TR,38.1667,32.5,51.28,88,100,7.49,overcast clouds
183,Bossangoa,CF,6.4926,17.4552,69.17,97,100,2.62,overcast clouds
184,Porto Walter,BR,-8.2686,-72.7439,71.38,98,100,2.15,overcast clouds
185,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.68,89,67,12.88,broken clouds
186,Qandala,SO,11.472,49.8728,82.18,67,6,4.76,clear sky
187,Kaliningrad,RU,54.7065,20.511,50.05,92,99,7.0,overcast clouds
188,Concarneau,FR,47.875,-3.9225,61.09,92,100,6.64,overcast clouds
189,Lillooet,CA,50.6856,-121.942,64.24,46,2,2.55,clear sky
190,Kanasin,MX,20.9333,-89.5667,79.0,89,75,8.05,broken clouds
191,Touros,BR,-5.1989,-35.4608,76.71,81,95,14.61,overcast clouds
192,Mount Gambier,AU,-37.8333,140.7667,62.33,47,73,7.16,broken clouds
193,Lingao,CN,19.9103,109.6859,80.73,49,89,15.95,overcast clouds
194,Ereymentau,KZ,51.6199,73.1033,45.28,62,69,14.74,broken clouds
195,Ha Giang,VN,22.8333,104.9833,84.92,38,66,5.84,broken clouds
196,Arraial Do Cabo,BR,-22.9661,-42.0278,70.23,90,99,21.03,overcast clouds
197,Arlit,NE,18.7369,7.3853,80.51,21,0,15.57,clear sky
198,Linhares,BR,-19.3911,-40.0722,67.01,94,14,2.48,few clouds
199,Kroya,ID,-7.6331,109.2461,82.44,73,99,9.19,overcast clouds
200,Chokurdakh,RU,70.6333,147.9167,16.95,95,100,10.29,light snow
201,Kaeo,NZ,-35.1,173.7833,61.32,95,97,7.78,moderate rain
202,Orsha,BY,54.5153,30.4053,46.27,80,97,13.13,overcast clouds
203,Souillac,MU,-20.5167,57.5167,71.76,78,63,13.56,light rain
204,Mayma,RU,52.0197,85.9114,55.63,55,100,1.41,overcast clouds
205,Alice Springs,AU,-23.7,133.8833,94.55,26,8,18.41,clear sky
206,Klaksvik,FO,62.2266,-6.589,45.52,89,88,26.11,light rain
207,Bethel,US,41.3712,-73.414,50.94,89,0,0.0,clear sky
208,Tabou,CI,4.423,-7.3528,74.82,89,71,3.18,broken clouds
209,Zapolyarnyy,RU,69.4154,30.8136,40.28,97,100,2.91,overcast clouds
210,Codrington,AU,-38.2667,141.9667,57.87,62,76,9.73,broken clouds
211,Wajid,SO,3.8093,43.2471,78.04,67,55,15.99,broken clouds
212,San Quintin,MX,30.4833,-115.95,66.63,89,9,9.86,clear sky
